Trans. Date,Crypto Currency,Coin Amount,Price At Transaction,Value At Transaction
2021-08-07,LINK,14.24,21.322331460674157,303.63
2021-09-09,SAND,421.58,0.7010769011812705,295.56
2021-09-22,SOL,0.984,111.22967479674797,109.45
2021-10-29,ETH,0.06743525,3736.7697161351075,251.99
2021-10-29,ETH,0.063927,3671.21,234.68944167
2021-10-29,ETH,0.07255854,3702.665461570754,268.66
2021-11-11,SAND,45.12,2.1835106382978724,98.52
2021-11-12,AVAX,1.405,77.8220640569395,109.34
2021-11-16,MANA,182.28,2.729975861312267,497.62
2021-11-16,SOL,2.0,200.1,400.2
2021-11-17,AVAX,7.027,95.69944499786537,672.48
2021-11-17,LINK,41.249853,20.305042056755937,837.58
2021-11-17,ETH,0.28039932,1760.7032713203441,493.7
2021-11-19,MATIC,200.0,1.4193,283.86
2021-11-26,AVAX,1.0,98.12,98.12
2021-11-27,ETH,0.11,3666.818181818182,403.35
2021-11-28,GALA,500.0,0.6101599999999999,305.08
2021-12-01,MANA,75.0,4.040933333333333,303.07
2021-12-02,SAND,71.22,5.533277169334457,394.08
2021-12-04,AVAX,3.7,83.69999999999999,309.69
2021-12-06,AVAX,3.75,83.17066666666666,311.89
2021-12-12,GALA,189.0,0.5248148148148148,99.19
2022-01-06,GALA,300.0,0.34126666666666666,102.38
2022-01-06,ETH,0.05,3010.0,150.5
2022-01-08,AVAX,4.0,76.76,307.04
2022-01-09,MATIC,95.0,1.7810526315789472,169.2
2022-01-09,ETH,0.09,2758.4444444444443,248.26
2022-01-11,SOL,1.3,120.74615384615385,156.97
2022-03-09,ETH,0.05,2482.4,124.12
2022-03-09,AVAX,1.5,71.06,106.59
2022-03-16,MATIC,100.0,1.2745,127.45
2022-05-04,MATIC,110.0,1.0927272727272728,120.2
2022-05-07,ETH,0.06,2536.6666666666665,152.2
2022-05-10,ETH,0.07204368,2284.5862399033476,164.59
2022-05-13,ETH,0.055,2007.090909090909,110.39
2022-05-13,GALA,520.0,0.0958076923076923,49.82
2022-05-13,AVAX,4.0,31.85,127.4
2022-05-13,LINK,7.0,7.24,50.68
2022-05-14,SAND,39.68,1.2414314516129032,49.26
2022-05-15,SAND,37.42,1.3164083377872795,49.26
2022-05-18,AVAX,0.0508101,32.58,1.6553930579999998
2022-05-18,SAND,17.29,1.139386928860613,19.7
2022-05-18,AVAX,2.0,29.0,58.0
2022-05-18,SOL,1.1,48.418181818181814,53.26
2022-05-21,AXS,2.499,19.29171668667467,48.21
2022-05-26,AVAX,2.0,22.66,45.32
2022-05-26,SOL,1.3,42.199999999999996,54.86
2022-05-26,YGG,52.78,0.5600606290261463,29.56
