Trans. Date,Crypto Currency,Action,Coin Amount,Value At Transaction,Fees,Current Value
2021-08-07,LINK,buy,14.24,303.63,0.12,89.0
2021-09-09,SAND,receive,421.58,295.56,4.4334,506.73915999999997
2021-09-22,SOL,buy,0.984,109.45,0.55,40.62936
2021-10-29,ETH,send,-0.113675,-417.32479675,,-189.9213695
2021-10-29,ETH,buy,0.06743525,251.99,1.26,112.666769585
2021-10-29,ETH,receive,0.063927,234.68944167,0.0,106.80539598
2021-10-29,ETH,send,-0.07255854,-266.3776376334,,-121.2264551196
2021-10-29,ETH,buy,0.07255854,268.66,1.34,121.2264551196
2021-10-30,SAND,sell,-83.25,-101.5,1.5225,-100.06649999999999
2021-11-11,SAND,receive,45.12,98.52,1.4777999999999998,54.23423999999999
2021-11-12,AVAX,buy,1.405,109.34,0.55,33.2704
2021-11-16,MANA,buy,182.28,497.62,2.49,162.95832000000001
2021-11-16,SOL,buy,2.0,400.2,2.0,82.58
2021-11-17,AVAX,buy,7.027,672.48,3.36,166.39936
2021-11-17,LINK,receive,41.249853,837.58,0.0,257.81158125
2021-11-17,ETH,receive,0.28039932,493.7,0.0,468.4743598968
2021-11-17,AVAX,send,-7.131725,-616.18104,,-168.87924800000002
2021-11-19,MATIC,buy,200.0,283.86,1.42,110.33999999999999
2021-11-26,AVAX,buy,1.0,98.12,0.49,23.68
2021-11-27,ETH,buy,0.11,403.35,2.02,183.7814
2021-11-28,GALA,buy,500.0,305.08,1.53,35.25
2021-12-01,MANA,buy,75.0,303.07,1.52,67.05
2021-12-02,SAND,receive,71.22,394.08,5.911199999999999,85.60643999999999
2021-12-04,AVAX,buy,3.7,309.69,1.55,87.616
2021-12-06,AVAX,buy,3.75,311.89,1.56,88.8
2021-12-06,AVAX,send,-3.7626,-287.876526,,-89.098368
2021-12-12,GALA,buy,189.0,99.19,0.5,13.324499999999999
2022-01-05,LINK,sell,-14.0,-312.2,1.56,-87.5
2022-01-06,GALA,buy,300.0,102.38,0.51,21.15
2022-01-06,ETH,buy,0.05,150.5,0.75,83.537
2022-01-08,AVAX,buy,4.0,307.04,1.54,94.72
2022-01-09,MATIC,buy,95.0,169.2,0.85,52.4115
2022-01-09,ETH,buy,0.09,248.26,1.24,150.3666
2022-01-11,SOL,buy,1.3,156.97,0.78,53.677
2022-03-09,ETH,buy,0.05,124.12,0.74,83.537
2022-03-09,AVAX,buy,1.5,106.59,0.64,35.519999999999996
2022-03-16,MATIC,buy,100.0,127.45,0.51,55.169999999999995
2022-05-04,MATIC,buy,110.0,120.2,0.48,60.687
2022-05-07,ETH,buy,0.06,152.2,0.61,100.2444
2022-05-10,ETH,buy,0.07204368,164.59,0.66,120.3662579232
2022-05-13,ETH,buy,0.055,110.39,0.44,91.8907
2022-05-13,GALA,buy,520.0,49.82,0.3,36.66
2022-05-13,AVAX,buy,4.0,127.4,0.76,94.72
2022-05-13,LINK,buy,7.0,50.68,0.3,43.75
2022-05-14,SAND,receive,39.68,49.26,0.7388999999999999,47.703295999999995
2022-05-15,SAND,receive,37.42,49.26,0.7388999999999999,44.97884
2022-05-18,AVAX,receive,0.0508101,1.6553930579999998,0.0,1.2031831679999998
2022-05-18,SAND,receive,17.29,19.7,0.2955,20.786037999999998
2022-05-18,AVAX,buy,2.0,58.0,0.23,47.36
2022-05-18,SOL,buy,1.1,53.26,0.21,45.419000000000004
2022-05-21,AXS,buy,2.499,48.21,0.29,41.90823
2022-05-26,AVAX,buy,2.0,45.32,0.18,47.36
2022-05-26,MANA,sell,-150.0,-141.15,0.56,-134.1
2022-05-26,SOL,buy,1.3,54.86,0.22,53.677
2022-05-26,YGG,receive,52.78,29.56,0.44339999999999996,30.03182
